time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1601042400,10616,10611.14,10615.9,26.02,276175.56,10611.14,direct,
1601042460,10611.14,10605.03,10611.14,34.38,364571.43,10606.17,direct,
1601042520,10608.71,10603.69,10606.17,66.01,699955.03,10604.57,direct,
1601042580,10612.7,10604.57,10604.57,70.84,751458.85,10611.05,direct,
1601042640,10611.49,10607.68,10611.05,14.44,153196.92,10608.76,direct,
1601042700,10609.15,10604.67,10608.76,20.16,213818.74,10605.3,direct,
1601042760,10605.3,10599.92,10605.3,51.24,543056.05,10602.6,direct,
1601042820,10604.05,10601.23,10602.6,15.07,159766.81,10601.38,direct,
1601042880,10601.39,10591.89,10601.38,32.99,349549.54,10591.89,direct,
1601042940,10591.89,10577.87,10591.89,168.95,1787801.6,10586.97,direct,
1601043000,10586.97,10567.95,10586.97,129.99,1374755.05,10579.24,direct,
1601043060,10583.09,10575.17,10579.24,93.05,986698.51,10581.85,direct,
1601043120,10581.85,10563.43,10581.85,134.54,1421544.5,10563.55,direct,
1601043180,10575.03,10563.55,10563.55,101.16,1068994.94,10574.18,direct,
1601043240,10582.72,10571.05,10574.18,81.25,859160.82,10582.72,direct,
1601043300,10594.22,10578.25,10582.72,106.66,1129331.01,10592.27,direct,
1601043360,10601.25,10592.27,10592.27,83.64,886558.85,10597.71,direct,
1601043420,10599.5,10591.82,10597.71,13.77,145855.3,10593.62,direct,
1601043480,10593.62,10584.86,10593.62,51.86,549062.7,10585.07,direct,
1601043540,10591.46,10584.81,10585.07,38.63,408864.46,10588.68,direct,
1601043600,10595.36,10588.25,10588.68,44.83,474767.05,10593.22,direct,
1601043660,10603.26,10593.22,10593.22,31.35,332312.31,10603.06,direct,
1601043720,10610.97,10603.06,10603.06,118.61,1259272.84,10606.37,direct,
1601043780,10607.57,10603.99,10606.37,53.12,563306.49,10605.88,direct,
1601043840,10608.37,10604.93,10605.88,24,254584.87,10608.26,direct,
1601043900,10608.7,10607.27,10608.26,14.25,151224.88,10607.88,direct,
1601043960,10608.44,10602.83,10607.88,40.74,432035.6,10604.71,direct,
1601044020,10607.76,10602.81,10604.71,74.71,792234.95,10606.92,direct,
1601044080,10610.79,10606.73,10606.92,14.99,159039.33,10610.79,direct,
1601044140,10615.3,10610.79,10610.79,66.66,707407.2,10612.49,direct,
1601044200,10614.76,10612.16,10612.49,25.2,267446.07,10613.92,direct,
1601044260,10614.19,10607.12,10613.92,337.4,3581045.78,10614.19,direct,
1601044320,10624.87,10614.19,10614.19,82.98,881079.15,10620.3,direct,
1601044380,10620.91,10618.49,10620.3,22.65,241506.93,10618.94,direct,
1601044440,10628.9,10618.93,10618.94,43.46,461450.21,10627.94,direct,
