time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1601385600,10742.11,10730.39,10730.39,0.143,1536.01,10742.11,force_direct,
1601385660,10742.59,10733.79,10742.11,1.715,18419.23,10741.47,force_direct,
1601385720,10742.9,10738.54,10741.47,0.08247,885.94,10738.54,force_direct,
1601385780,10742.95,10738.54,10738.54,0.0001774,1.906,10742.95,force_direct,
1601385840,10742.95,10737.97,10742.95,6.564,70510.86,10738.29,force_direct,
1601385900,10745.71,10738.29,10738.29,0.4809,5165.24,10742.05,force_direct,
1601385960,10742.05,10742.05,10742.05,0,0,10742.05,force_direct,
1601386020,10744.86,10742.05,10742.05,0.04682,503.11,10744.86,force_direct,
1601386080,10745.17,10744.09,10744.86,0.196,2105.96,10745.17,force_direct,
1601386140,10745.17,10745.16,10745.17,0.3931,4224.28,10745.16,force_direct,
1601386200,10745.17,10745.16,10745.16,0.264,2836.85,10745.17,force_direct,
1601386260,10745.17,10745.17,10745.17,3.036,32618.54,10745.17,force_direct,
1601386320,10745.17,10745.17,10745.17,0,0,10745.17,force_direct,
1601386380,10751.68,10745.17,10745.17,0.08081,868.48,10750.16,force_direct,
1601386440,10750.46,10746.1,10750.16,0.045,483.6,10746.1,force_direct,
1601386500,10753.03,10746.1,10746.1,0.07102,763.69,10752.49,force_direct,
1601386560,10752.49,10749.22,10752.49,0.0175,188.13,10749.22,force_direct,
1601386620,10752.7,10749.22,10749.22,1.003,10781.17,10752.7,force_direct,
1601386680,10757.58,10752.7,10752.7,0.02297,247.11,10757.58,force_direct,
1601386740,10757.58,10757.58,10757.58,0,0,10757.58,force_direct,
1601386800,10770.69,10757.58,10757.58,3.05,32836.42,10767.36,force_direct,
1601386860,10767.36,10756.01,10767.36,0.2216,2384.38,10756.01,force_direct,
1601386920,10756.01,10754,10756.01,1.37,14733.31,10754.48,force_direct,
1601386980,10754.48,10744.51,10754.48,0.07843,842.64,10744.51,force_direct,
1601387040,10744.51,10739.77,10744.51,0.8645,9284.41,10743.51,force_direct,
1601387100,10751.24,10743.51,10743.51,0.2253,2422.14,10749.17,force_direct,
1601387160,10749.17,10748.1,10749.17,0.3807,4092.13,10748.1,force_direct,
1601387220,10762.47,10748.1,10748.1,1.101,11847.27,10760.37,force_direct,
1601387280,10760.37,10754.7,10760.37,0.5978,6430.71,10756.12,force_direct,
1601387340,10756.12,10753.25,10756.12,0.1259,1353.47,10753.25,force_direct,
1601387400,10753.25,10752.55,10753.25,0.004241,45.6,10752.55,force_direct,
1601387460,10752.55,10743.87,10752.55,0.1524,1637.98,10743.87,force_direct,
1601387520,10744.54,10743.87,10743.87,0.8166,8773.68,10744.54,force_direct,
1601387580,10750,10744.54,10744.54,0.5465,5875.1,10750,force_direct,
1601387640,10750,10749.81,10750,0.04559,490.09,10749.81,force_direct,
1601387700,10750,10749.81,10749.81,0.271,2913.43,10749.99,force_direct,
1601387760,10750,10748.21,10749.99,0.2613,2808.9,10750,force_direct,
1601387820,10750,10750,10750,0.4117,4425.77,10750,force_direct,
1601387880,10761.1,10750,10750,8.671,93293.5,10759.14,force_direct,
1601387940,10759.14,10757.34,10759.14,0.02423,260.68,10757.34,force_direct,
1601388000,10759.15,10757.34,10757.34,0.07592,816.88,10759.15,force_direct,
1601388060,10759.15,10759.15,10759.15,0.6364,6847.1,10759.15,force_direct,
1601388120,10759.15,10759.15,10759.15,0.08363,899.81,10759.15,force_direct,
1601388180,10769.32,10759.14,10759.15,0.3704,3985.58,10766.99,force_direct,
1601388240,10770.99,10766.98,10766.99,0.112,1206.38,10770.99,force_direct,
1601388300,10776.62,10767.52,10770.99,1.679,18079.55,10768.97,force_direct,
1601388360,10771.19,10768.97,10768.97,0.1098,1182.96,10771.11,force_direct,
1601388420,10772.13,10771.11,10771.11,0.07581,816.67,10772.13,force_direct,
1601388480,10773.22,10771.31,10772.13,0.1016,1094.87,10773.22,force_direct,
1601388540,10773.22,10768.49,10773.22,0.2906,3130.09,10772.69,force_direct,
1601388600,10774.48,10771.47,10772.69,0.851,9167.42,10772.01,force_direct,
1601388660,10778.5,10772.01,10772.01,0.108,1164.33,10778.5,force_direct,
1601388720,10790.8,10778.5,10778.5,0.2568,2770.78,10790.8,force_direct,
1601388780,10790.8,10778.12,10790.8,4.783,51558.24,10781.29,force_direct,
1601388840,10783.06,10777.94,10781.29,0.186,2005.13,10777.94,force_direct,
1601388900,10783.75,10777.94,10777.94,0.5062,5457.32,10780.42,force_direct,
1601388960,10780.42,10780.41,10780.42,0.01,107.8,10780.41,force_direct,
1601389020,10785.4,10780.41,10780.41,0.1356,1462.55,10784.6,force_direct,
1601389080,10784.6,10780.04,10784.6,0.3727,4018.39,10783.86,force_direct,
1601389140,10786.09,10781.09,10783.86,0.2106,2271.73,10785.2,force_direct,
1601389200,10786.81,10784.79,10785.2,0.2039,2199.52,10784.79,force_direct,
1601389260,10785.16,10781.75,10784.79,0.1472,1587.43,10782.7,force_direct,
1601389320,10790,10782.7,10782.7,0.2285,2464.75,10790,force_direct,
1601389380,10791,10787.96,10790,0.02144,231.4,10787.96,force_direct,
1601389440,10790.97,10787.96,10787.96,0.6866,7408.26,10788.12,force_direct,
1601389500,10788.12,10787.37,10788.12,0.4539,4896.88,10787.97,force_direct,
1601389560,10787.97,10786.41,10787.97,0.1999,2155.98,10787.87,force_direct,
1601389620,10788.12,10785.87,10787.87,2.518,27159.99,10785.87,force_direct,
1601389680,10787.97,10785.87,10785.87,0.2256,2433.31,10787.89,force_direct,
1601389740,10788.12,10787.89,10787.89,0.152,1639.82,10788.12,force_direct,
1601389800,10788.12,10787,10788.12,1.389,14989.27,10788,force_direct,
